profile_id,unicode
OHE-00861,U+8B8A
OHE-00862,U+5225
OHE-00863,U+4E19
OHE-00864,U+5175
OHE-00865,U+5E77
OHE-00866,U+79C9
OHE-00867,U+70B3
OHE-00868,U+663A
OHE-00869,U+67C4
OHE-00870,U+7ADD
OHE-00871,U+5C5B
OHE-00872,U+68C5
OHE-00873,U+6B65
OHE-00874,U+752B
OHE-00875,U+4FDD
OHE-00876,U+5831
OHE-00877,U+666E
OHE-00878,U+5821
OHE-00879,U+88DC
OHE-00880,U+8F14
OHE-00881,U+83E9
OHE-00882,U+6F7D
OHE-00883,U+5BF6
OHE-00884,U+8B5C
OHE-00885,U+535C
OHE-00886,U+4F0F
OHE-00887,U+670D
OHE-00888,U+5FA9
OHE-00889,U+798F
OHE-00890,U+8907
OHE-00891,U+99A5
OHE-00892,U+672C
OHE-00893,U+5949
OHE-00894,U+5C01
OHE-00895,U+4FF8
OHE-00896,U+5CEF
OHE-00897,U+70FD
OHE-00898,U+6367
OHE-00899,U+8702
OHE-00900,U+9022
OHE-00901,U+9CF3
OHE-00902,U+84EC
OHE-00903,U+7236
OHE-00904,U+592B
OHE-00905,U+4ED8
OHE-00906,U+5B5A
OHE-00907,U+6276
OHE-00908,U+5E9C
OHE-00909,U+8D74
OHE-00910,U+8299
OHE-00911,U+6D6E
OHE-00912,U+5A66
OHE-00913,U+526F
OHE-00914,U+5BCC
OHE-00915,U+F966
OHE-00916,U+5085
OHE-00917,U+9644
OHE-00918,U+6EA5
OHE-00919,U+6577
OHE-00920,U+5317
OHE-00921,U+5206
OHE-00922,U+6C7E
OHE-00923,U+76C6
OHE-00924,U+7C89
OHE-00925,U+82AC
OHE-00926,U+596E
OHE-00927,U+4F5B
OHE-00928,U+62C2
OHE-00929,U+670B
OHE-00930,U+9D6C
OHE-00931,U+6BD4
OHE-00932,U+5983
OHE-00933,U+5E87
OHE-00934,U+6787
OHE-00935,U+6279
OHE-00936,U+98DB
OHE-00937,U+80A5
OHE-00938,U+7955
OHE-00939,U+5099
OHE-00940,U+6249
OHE-00941,U+8CBB
OHE-00942,U+7891
OHE-00943,U+7435
OHE-00944,U+8B6C
OHE-00945,U+73AD
OHE-00946,U+5F6C
OHE-00947,U+658C
OHE-00948,U+8CD3
OHE-00949,U+983B
OHE-00950,U+6FF1
OHE-00951,U+6C37
OHE-00952,U+8058
OHE-00953,U+6191
OHE-00954,U+58EB
OHE-00955,U+56DB
OHE-00956,U+53F8
